code,name,city,to_Companies_code
RM001,Raw Materials Supply Plant,Mumbai,ASP
CM002,Components Manufacturing Plant,Chennai,ASP
AI003,Assembly and Integration Facility,Bengaluru,ASP
QT004,Quality Assurance and Testing Center,Hyderabad,DLX
DW005,Central Distribution Warehouse,Delhi,DLX
PL006,Packaging and Labeling Unit,Pune,DLX
RW007,Recycling and Waste Management Facility,Kolkata,DLX
SP008,Spare Parts Storage and Supply,Ahmedabad,DLX
FG009,Finished Goods Warehouse,Surat,DLX
MR010,Equipment Maintenance and Repair Workshop,Jaipur,DLX
